"age","job","marital","education","default","balance","housing","loan","previous","poutcome","P (y=no)","P (y=yes)","Prediction (y)","Prediction (y) (Confidence)"
51,"management","single","tertiary","yes",-55,"yes","no",6,"failure",0.8100000023841858,0.1899999976158142,"no",0.8100000023841858
45,"technician","single","secondary","no",586,"no","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
41,"blue-collar","married","primary","no",168,"yes","no",0,"unknown",1,0,"no",1
43,"blue-collar","married","unknown","yes",-715,"yes","no",0,"unknown",0.9100000262260437,0.09000000357627869,"no",0.9100000262260437
27,"technician","single","secondary","no",769,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
29,"admin.","single","secondary","no",428,"yes","yes",2,"failure",1,0,"no",1
52,"management","married","tertiary","no",-970,"yes","no",0,"unknown",0.7900000214576721,0.20999999344348907,"no",0.7900000214576721
60,"management","married","unknown","no",6313,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
56,"services","divorced","unknown","no",1877,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
48,"technician","married","secondary","no",1152,"yes","no",0,"unknown",1,0,"no",1
45,"unemployed","divorced","primary","yes",-249,"yes","yes",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
35,"technician","divorced","secondary","no",308,"no","no",0,"unknown",0.949999988079071,0.05000000074505806,"no",0.949999988079071
27,"self-employed","single","secondary","no",50,"no","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
34,"blue-collar","married","tertiary","no",20,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
31,"admin.","single","secondary","no",2104,"yes","no",0,"unknown",1,0,"no",1
45,"blue-collar","divorced","secondary","no",1269,"yes","no",0,"unknown",1,0,"no",1
42,"technician","married","secondary","no",2980,"no","no",0,"unknown",1,0,"no",1
40,"admin.","single","secondary","no",462,"yes","yes",4,"other",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
32,"admin.","married","secondary","no",1031,"yes","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
42,"management","married","tertiary","no",9009,"no","no",0,"unknown",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
44,"admin.","married","secondary","no",5181,"yes","yes",0,"unknown",0.8899999856948853,0.10999999940395355,"no",0.8899999856948853
32,"services","single","secondary","no",0,"no","yes",0,"unknown",1,0,"no",1
56,"retired","married","secondary","no",-1206,"yes","no",0,"unknown",1,0,"no",1
30,"management","single","tertiary","no",1372,"no","no",0,"unknown",1,0,"no",1
36,"services","married","secondary","no",1981,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
23,"student","single","secondary","no",9216,"no","no",0,"unknown",0.8199999928474426,0.18000000715255737,"no",0.8199999928474426
27,"blue-collar","single","secondary","no",5563,"yes","no",0,"unknown",1,0,"no",1
38,"services","married","secondary","no",1,"no","yes",0,"unknown",1,0,"no",1
42,"technician","married","tertiary","no",782,"no","no",0,"unknown",1,0,"no",1
35,"technician","single","tertiary","no",2658,"yes","no",3,"failure",0.6200000047683716,0.3799999952316284,"no",0.6200000047683716
39,"management","divorced","tertiary","no",1315,"yes","no",1,"failure",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
42,"technician","married","secondary","no",2030,"yes","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
38,"services","single","secondary","no",-196,"yes","no",1,"failure",1,0,"no",1
36,"technician","single","secondary","no",9149,"yes","no",0,"unknown",1,0,"no",1
57,"self-employed","married","secondary","no",11494,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
42,"management","married","tertiary","no",372,"yes","no",0,"unknown",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
53,"retired","married","tertiary","no",-22,"yes","no",0,"unknown",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
37,"technician","married","secondary","no",4030,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
41,"self-employed","married","primary","no",204,"no","no",0,"unknown",1,0,"no",1
36,"blue-collar","married","primary","no",123,"yes","no",0,"unknown",1,0,"no",1
40,"entrepreneur","married","tertiary","no",3571,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
44,"technician","single","secondary","no",33,"yes","no",10,"failure",0.8999999761581421,0.10000000149011612,"no",0.8999999761581421
30,"student","single","secondary","no",3096,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
57,"housemaid","married","primary","no",7082,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
50,"blue-collar","married","secondary","no",606,"yes","no",0,"unknown",1,0,"no",1
32,"unemployed","single","secondary","no",0,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
42,"management","married","tertiary","no",484,"yes","no",0,"unknown",1,0,"no",1
46,"blue-collar","married","primary","no",222,"no","no",0,"unknown",1,0,"no",1
28,"unemployed","single","secondary","no",16,"no","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
29,"blue-collar","single","secondary","no",482,"no","yes",0,"unknown",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
54,"housemaid","married","secondary","no",209,"yes","yes",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
58,"technician","married","tertiary","no",883,"no","no",2,"failure",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
40,"self-employed","married","secondary","no",1516,"yes","yes",0,"unknown",1,0,"no",1
33,"technician","married","tertiary","no",-988,"yes","yes",0,"unknown",1,0,"no",1
38,"admin.","single","secondary","no",902,"yes","no",0,"unknown",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
56,"services","divorced","secondary","no",1007,"no","no",0,"unknown",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
40,"services","married","secondary","no",0,"yes","no",3,"failure",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
46,"management","married","secondary","no",12186,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
35,"self-employed","married","secondary","no",524,"yes","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
34,"technician","married","secondary","no",4,"yes","no",0,"unknown",1,0,"no",1
35,"housemaid","married","tertiary","no",11219,"no","no",1,"failure",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
38,"technician","single","tertiary","no",0,"no","no",0,"unknown",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
50,"blue-collar","married","primary","no",5776,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
32,"blue-collar","married","secondary","no",1148,"yes","no",0,"unknown",1,0,"no",1
37,"blue-collar","single","secondary","no",3561,"yes","no",0,"unknown",1,0,"no",1
40,"student","married","secondary","no",260,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
27,"self-employed","married","secondary","no",-220,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
41,"management","married","tertiary","no",49,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
34,"admin.","married","tertiary","no",69,"no","yes",6,"success",0.15000000596046448,0.8500000238418579,"yes",0.8500000238418579
47,"blue-collar","married","secondary","no",480,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
53,"services","married","secondary","no",4994,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
53,"technician","divorced","secondary","no",0,"yes","yes",0,"unknown",1,0,"no",1
47,"management","married","tertiary","no",3681,"no","no",0,"unknown",1,0,"no",1
29,"management","married","tertiary","no",451,"no","no",0,"unknown",0.9100000262260437,0.09000000357627869,"no",0.9100000262260437
70,"retired","divorced","primary","no",4531,"no","no",0,"unknown",0.6899999976158142,0.3100000023841858,"no",0.6899999976158142
56,"blue-collar","married","secondary","no",345,"yes","no",0,"unknown",1,0,"no",1
56,"technician","married","secondary","no",205,"no","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
35,"management","married","tertiary","no",4286,"yes","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
38,"admin.","married","tertiary","no",605,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
49,"blue-collar","married","secondary","no",8545,"yes","yes",1,"failure",1,0,"no",1
30,"blue-collar","married","primary","no",1317,"yes","no",0,"unknown",1,0,"no",1
35,"entrepreneur","married","secondary","no",2971,"no","no",2,"failure",0.28999999165534973,0.7099999785423279,"yes",0.7099999785423279
45,"admin.","married","unknown","no",1783,"no","no",0,"unknown",1,0,"no",1
37,"blue-collar","married","secondary","no",-67,"no","no",0,"unknown",1,0,"no",1
33,"technician","married","secondary","no",6699,"no","no",1,"failure",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
51,"unemployed","married","secondary","no",1760,"no","yes",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
29,"technician","single","tertiary","no",828,"yes","no",3,"other",0.8399999737739563,0.1599999964237213,"no",0.8399999737739563
32,"services","married","primary","no",228,"yes","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
47,"management","divorced","tertiary","no",447,"no","yes",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
33,"blue-collar","married","primary","no",-195,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
33,"management","single","tertiary","no",1410,"yes","no",5,"failure",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
51,"self-employed","divorced","primary","no",10924,"no","no",0,"unknown",1,0,"no",1
41,"management","married","tertiary","no",832,"yes","yes",1,"failure",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
56,"retired","married","tertiary","no",478,"no","no",0,"unknown",0.9200000166893005,0.07999999821186066,"no",0.9200000166893005
60,"management","single","tertiary","no",0,"no","yes",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
41,"self-employed","single","tertiary","no",3950,"yes","no",0,"unknown",0.8299999833106995,0.17000000178813934,"no",0.8299999833106995
37,"management","single","unknown","no",504,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
36,"blue-collar","single","secondary","no",219,"yes","yes",1,"failure",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
57,"management","married","tertiary","no",1602,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
47,"self-employed","married","tertiary","no",2303,"yes","no",1,"failure",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
35,"management","married","tertiary","yes",32,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
50,"management","married","tertiary","no",4,"no","no",2,"failure",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
29,"management","married","tertiary","no",318,"yes","no",4,"failure",0.8199999928474426,0.18000000715255737,"no",0.8199999928474426
27,"management","single","unknown","no",3196,"no","no",0,"unknown",0.75,0.25,"no",0.75
26,"student","single","secondary","no",2572,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
50,"housemaid","married","primary","no",395,"yes","no",0,"unknown",1,0,"no",1
49,"blue-collar","married","secondary","no",2039,"yes","no",0,"unknown",1,0,"no",1
38,"technician","single","secondary","no",0,"yes","no",0,"unknown",1,0,"no",1
60,"technician","single","primary","no",11262,"no","no",0,"unknown",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
30,"entrepreneur","married","secondary","no",946,"yes","no",1,"other",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
58,"housemaid","married","tertiary","no",497,"no","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
38,"services","married","secondary","no",-140,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
42,"admin.","married","secondary","no",-396,"yes","no",4,"failure",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
53,"technician","divorced","primary","no",7290,"yes","no",0,"unknown",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
27,"services","single","secondary","no",468,"yes","no",0,"unknown",1,0,"no",1
59,"retired","married","tertiary","no",9676,"no","no",0,"unknown",0.7099999785423279,0.28999999165534973,"no",0.7099999785423279
41,"blue-collar","married","primary","no",8,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
45,"blue-collar","married","primary","no",61,"no","no",0,"unknown",1,0,"no",1
48,"management","married","tertiary","no",6613,"no","no",0,"unknown",1,0,"no",1
32,"blue-collar","married","secondary","no",1005,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
35,"services","married","secondary","no",109,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
35,"technician","married","secondary","no",0,"no","no",0,"unknown",1,0,"no",1
33,"blue-collar","married","secondary","no",43,"yes","no",2,"failure",1,0,"no",1
34,"admin.","married","secondary","no",613,"yes","no",0,"unknown",1,0,"no",1
37,"technician","single","tertiary","no",6101,"no","no",1,"success",0.30000001192092896,0.699999988079071,"yes",0.699999988079071
39,"blue-collar","married","primary","no",7685,"yes","no",0,"unknown",1,0,"no",1
50,"blue-collar","married","secondary","no",887,"no","no",0,"unknown",1,0,"no",1
41,"technician","married","tertiary","no",744,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
34,"blue-collar","single","secondary","no",186,"no","no",0,"unknown",0.9300000071525574,0.07000000029802322,"no",0.9300000071525574
42,"management","married","tertiary","no",0,"no","no",0,"unknown",1,0,"no",1
53,"blue-collar","married","secondary","no",4380,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
46,"technician","married","secondary","no",1322,"yes","yes",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
42,"admin.","divorced","secondary","no",1076,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
37,"management","married","tertiary","no",502,"yes","no",1,"failure",1,0,"no",1
37,"management","single","tertiary","no",876,"yes","no",2,"failure",0.8399999737739563,0.1599999964237213,"no",0.8399999737739563
29,"blue-collar","single","primary","no",950,"yes","no",0,"unknown",1,0,"no",1
36,"blue-collar","married","primary","no",973,"yes","yes",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
26,"technician","married","tertiary","no",3825,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
40,"management","married","tertiary","no",542,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
43,"blue-collar","married","secondary","no",130,"no","no",3,"failure",0.8199999928474426,0.18000000715255737,"no",0.8199999928474426
27,"admin.","single","secondary","no",619,"yes","no",4,"other",0.8700000047683716,0.12999999523162842,"no",0.8700000047683716
36,"management","married","secondary","no",644,"yes","no",0,"unknown",1,0,"no",1
44,"management","married","tertiary","no",22,"yes","no",0,"unknown",1,0,"no",1
37,"admin.","divorced","tertiary","no",4303,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
62,"retired","married","secondary","no",816,"no","no",0,"unknown",0.8899999856948853,0.10999999940395355,"no",0.8899999856948853
24,"blue-collar","married","secondary","no",1222,"yes","no",0,"unknown",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
31,"technician","married","secondary","no",2363,"yes","no",0,"unknown",1,0,"no",1
39,"entrepreneur","married","tertiary","no",2,"yes","no",0,"unknown",1,0,"no",1
35,"admin.","divorced","secondary","no",-402,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
32,"blue-collar","married","secondary","no",34,"yes","no",0,"unknown",1,0,"no",1
44,"management","married","tertiary","no",795,"no","no",0,"unknown",1,0,"no",1
42,"blue-collar","married","secondary","no",117,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
34,"self-employed","single","tertiary","no",5462,"no","no",0,"unknown",0.8299999833106995,0.17000000178813934,"no",0.8299999833106995
43,"management","divorced","tertiary","no",36,"no","no",2,"failure",0.949999988079071,0.05000000074505806,"no",0.949999988079071
50,"blue-collar","married","secondary","no",283,"yes","no",0,"unknown",1,0,"no",1
40,"management","single","secondary","no",10378,"yes","no",0,"unknown",1,0,"no",1
38,"entrepreneur","married","secondary","yes",15,"yes","no",0,"unknown",1,0,"no",1
57,"blue-collar","married","primary","no",452,"yes","no",0,"unknown",1,0,"no",1
48,"blue-collar","married","secondary","no",149,"yes","no",0,"unknown",1,0,"no",1
54,"blue-collar","married","secondary","no",1480,"yes","no",0,"unknown",1,0,"no",1
37,"management","single","unknown","no",715,"yes","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
55,"housemaid","married","primary","no",136,"yes","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
55,"services","divorced","secondary","yes",-404,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
52,"blue-collar","married","primary","no",779,"yes","no",0,"unknown",1,0,"no",1
55,"blue-collar","single","primary","no",1187,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
33,"management","married","tertiary","no",641,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
44,"technician","single","secondary","no",244,"yes","no",0,"unknown",0.8500000238418579,0.15000000596046448,"no",0.8500000238418579
50,"housemaid","married","secondary","no",7317,"yes","no",1,"failure",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
34,"technician","single","secondary","no",4943,"yes","yes",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
42,"management","single","tertiary","no",515,"yes","no",0,"unknown",1,0,"no",1
32,"management","single","tertiary","no",12607,"no","no",1,"failure",0.8700000047683716,0.12999999523162842,"no",0.8700000047683716
58,"admin.","married","secondary","no",2,"yes","yes",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
19,"student","single","primary","no",103,"no","no",0,"unknown",0.7300000190734863,0.27000001072883606,"no",0.7300000190734863
42,"self-employed","divorced","tertiary","no",360,"yes","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
41,"blue-collar","single","secondary","no",428,"yes","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
30,"blue-collar","single","secondary","no",315,"no","no",0,"unknown",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
38,"blue-collar","married","secondary","no",121,"yes","yes",2,"failure",0.949999988079071,0.05000000074505806,"no",0.949999988079071
36,"management","married","tertiary","no",-381,"yes","no",0,"unknown",0.9599999785423279,0.03999999910593033,"no",0.9599999785423279
34,"management","married","tertiary","no",902,"yes","no",2,"other",0.699999988079071,0.30000001192092896,"no",0.699999988079071
61,"retired","married","secondary","no",5207,"no","no",2,"other",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
50,"entrepreneur","married","secondary","no",665,"no","no",0,"unknown",1,0,"no",1
27,"admin.","married","secondary","no",1033,"yes","no",0,"unknown",0.949999988079071,0.05000000074505806,"no",0.949999988079071
43,"services","married","primary","no",2567,"yes","no",2,"failure",0.9700000286102295,0.029999999329447746,"no",0.9700000286102295
40,"management","married","tertiary","no",1584,"yes","no",0,"unknown",1,0,"no",1
29,"blue-collar","married","secondary","no",15,"no","no",0,"unknown",0.9800000190734863,0.019999999552965164,"no",0.9800000190734863
52,"blue-collar","married","primary","no",1054,"no","no",0,"unknown",1,0,"no",1
40,"technician","married","tertiary","no",0,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
41,"admin.","married","secondary","no",920,"yes","yes",0,"unknown",1,0,"no",1
47,"admin.","single","secondary","no",3696,"no","no",4,"success",0.10999999940395355,0.8899999856948853,"yes",0.8899999856948853
27,"services","married","secondary","no",0,"yes","no",0,"unknown",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
54,"management","married","tertiary","no",0,"no","no",0,"unknown",1,0,"no",1
28,"student","single","secondary","no",378,"yes","no",0,"unknown",1,0,"no",1
42,"self-employed","married","tertiary","no",1932,"yes","no",0,"unknown",1,0,"no",1
43,"technician","single","secondary","no",11269,"no","no",0,"unknown",0.9900000095367432,0.009999999776482582,"no",0.9900000095367432
37,"admin.","married","secondary","no",1314,"yes","no",7,"success",0.6499999761581421,0.3499999940395355,"no",0.6499999761581421
43,"management","single","tertiary","no",1304,"no","no",0,"unknown",0.9399999976158142,0.05999999865889549,"no",0.9399999976158142
